DATE,TYPE,TESTED,RECOVERED,VACCINATED 2 ,VACCINATED 1,CONFIRMED ,DECEASED
09-08-2020,delta7,4380700,347010,0,0,409297,6297
10-08-2020,delta7,4417098,351302,0,0,411822,6378
10-08-2020,delta,698290,47362,0,0,53016,887
10-08-2020,total,25281848,1581644,0,0,2267156,45354
11-08-2020,delta,733449,56461,0,0,61252,835
11-08-2020,total,26015297,1638105,0,0,2328408,46189
11-08-2020,delta7,4530895,356543,0,0,421792,6364
12-08-2020,delta,830391,57759,0,0,67066,950
12-08-2020,total,26845688,1695864,0,0,2395474,47139
12-08-2020,delta7,4696337,368719,0,0,432232,6395
13-08-2020,total,27694416,1750640,0,0,2459615,48145
13-08-2020,delta,848728,54776,0,0,64141,1006
13-08-2020,delta7,4906023,373354,0,0,434203,6502
14-08-2020,total,28563095,1807560,0,0,2525225,49134
14-08-2020,delta,868679,56920,0,0,65610,989
14-08-2020,delta7,5175924,379887,0,0,438358,6555
15-08-2020,delta,746608,53116,0,0,63986,952
15-08-2020,total,29309703,1860676,0,0,2589211,50086
15-08-2020,delta7,5203168,380868,0,0,437188,6632
16-08-2020,delta7,5457842,383798,0,0,433167,6571
16-08-2020,total,30041400,1918080,0,0,2647307,51038
16-08-2020,delta,731697,57404,0,0,58096,952
17-08-2020,total,30941264,1976252,0,0,2701605,51918
17-08-2020,delta,899864,58172,0,0,54298,880
17-08-2020,delta7,5659416,394608,0,0,434449,6564
18-08-2020,total,31742782,2036707,0,0,2766629,53017
18-08-2020,delta,801518,60455,0,0,65024,1099
18-08-2020,delta7,5727485,398602,0,0,438221,6828
19-08-2020,total,32661252,2096072,0,0,2835825,53996
19-08-2020,delta7,5815564,400208,0,0,440351,6857
19-08-2020,delta,918470,59365,0,0,69196,979
20-08-2020,total,33467237,2157945,0,0,2904343,54977
20-08-2020,delta7,5772821,407305,0,0,444728,6832
20-08-2020,delta,805985,61873,0,0,68518,981
21-08-2020,delta7,5927978,413243,0,0,448147,6796
21-08-2020,total,34491073,2220803,0,0,2973372,55930
21-08-2020,delta,1023836,62858,0,0,69029,953
22-08-2020,total,35292220,2279904,0,0,3043439,56848
22-08-2020,delta,801147,59101,0,0,70067,918
22-08-2020,delta7,5982517,419228,0,0,454228,6762
23-08-2020,total,35902137,2336800,0,0,3105188,57694
23-08-2020,delta,609917,56896,0,0,61749,846
23-08-2020,delta7,5860737,418720,0,0,457881,6656
24-08-2020,delta,925383,66305,0,0,59696,854
24-08-2020,delta7,5886256,426853,0,0,463279,6630
24-08-2020,total,36827520,2403105,0,0,3164884,58548
25-08-2020,delta,823992,64151,0,0,66873,1066
25-08-2020,total,37651512,2467256,0,0,3231757,59614
